CustomerID,Number_of_Orders,Total_Spend,Total_Items_Purchased,Product_Diversity,Days_Since_Last_Purchase,Customer_Lifetime_Days,Average_Order_Value
12346.0,12,77556.46,74285,27,326,400,6463.038333333334
12347.0,8,4921.53,2967,126,2,402,615.19125
12348.0,5,2019.3999999999999,2714,25,75,362,403.88
12349.0,4,4428.69,1624,138,19,570,1107.1725
12350.0,1,334.4,197,17,310,0,334.4
12351.0,1,300.93,261,21,375,0,300.93
12352.0,10,2849.84,724,70,36,356,284.98400000000004
12353.0,2,406.76,212,23,204,204,203.38
12354.0,1,1079.4,530,58,232,0,1079.4
12355.0,2,947.61,543,35,214,353,473.805
12356.0,6,6371.73,3416,104,23,401,1061.955
12357.0,3,18287.66,6587,261,33,355,6095.886666666666
12358.0,5,3887.07,1079,56,2,730,777.414
12359.0,10,8873.39,2739,305,58,676,887.3389999999999
12360.0,8,4252.89,2459,160,52,603,531.61125
12361.0,4,511.25,235,18,287,394,127.8125
12362.0,11,5356.2300000000005,2230,201,3,735,486.93000000000006
12363.0,2,552.0,408,23,110,132,276.0
12364.0,4,1313.1,1506,70,8,104,328.275
12365.0,2,641.38,174,22,291,0,320.69
12366.0,1,500.24,296,3,634,0,500.24
12367.0,1,168.9,173,11,4,0,168.9
12368.0,1,917.7,330,18,628,0,917.7
12369.0,3,1791.15,1241,90,413,228,597.0500000000001
12370.0,7,4316.56,2604,168,51,617,616.6514285714286
12371.0,5,4067.38,1436,134,45,600,813.476
12372.0,3,1298.04,794,34,72,224,432.68
12373.0,3,1127.65,516,36,311,362,375.8833333333334
12374.0,4,2989.2200000000003,1362,79,25,563,747.3050000000001
12375.0,2,457.5,178,14,11,87,228.75
12376.0,2,503.15,240,11,390,28,251.575
12377.0,4,3426.32,2105,129,315,274,856.58
12378.0,2,5416.32,3316,281,130,432,2708.16
12379.0,4,1620.22,815,58,82,452,405.055
12380.0,11,9676.3,3355,156,22,640,879.6636363636363
12381.0,5,1845.31,808,70,5,115,369.062
12383.0,5,1850.56,1532,84,185,167,370.11199999999997
12384.0,2,585.27,126,26,29,92,292.635
12385.0,1,1938.4,612,65,379,0,1938.4
12386.0,2,401.9,354,10,338,29,200.95
12387.0,1,143.94,134,9,415,0,143.94
12388.0,8,3901.11,2001,83,16,566,487.63875
12389.0,3,1433.33,614,41,403,253,477.77666666666664
12390.0,1,549.84,353,32,80,0,549.84
12391.0,6,2724.84,1204,241,22,641,454.14000000000004
12392.0,1,234.75000000000003,73,7,591,0,234.75000000000003
12393.0,6,2399.45,1311,63,72,356,399.9083333333333
12394.0,2,1272.48,819,26,64,153,636.24
12395.0,15,4721.17,3205,145,19,583,314.74466666666666
12396.0,1,931.43,591,65,674,0,931.43
12397.0,2,2409.9,1263,110,36,99,1204.95
12398.0,1,1635.6599999999999,1394,85,46,0,1635.6599999999999
12399.0,7,1962.3,2198,67,119,525,280.3285714285714
12400.0,1,205.25,91,11,414,0,205.25
12401.0,1,84.3,11,5,303,0,84.3
12402.0,6,1256.9,584,43,323,347,209.48333333333335
12403.0,2,1019.36,260,5,50,471,509.68
12404.0,1,63.24,1,1,682,0,63.24
12405.0,1,1710.39,857,54,149,0,1710.39
12406.0,5,6390.36,3416,114,22,675,1278.072
12407.0,5,1708.12,1416,57,50,214,341.62399999999997
12408.0,8,4340.77,2229,104,33,465,542.59625
12409.0,7,23419.29,13143,177,79,486,3345.612857142857
12410.0,3,1013.71,341,36,309,193,337.90333333333336
12411.0,1,346.9,138,22,410,0,346.9
12412.0,6,2596.93,1997,82,75,464,432.82166666666666
12413.0,4,999.45,319,41,67,335,249.8625
12414.0,6,952.41,495,21,217,246,158.73499999999999
12415.0,28,144458.37,91447,498,24,503,5159.2275
12416.0,1,202.56,132,11,657,0,202.56
12417.0,20,6797.41,2884,270,3,730,339.8705
12418.0,4,2021.2,1088,90,113,517,505.3
12419.0,2,503.01,231,23,386,27,251.505
12420.0,1,600.39,345,29,64,0,600.39
12421.0,6,1098.6,652,44,16,489,183.1
12422.0,17,5231.8,2596,137,96,625,307.7529411764706
12423.0,10,2622.39,1793,128,1,465,262.239
12424.0,4,3340.0299999999997,2025,78,163,385,835.0074999999999
12425.0,2,1741.41,1147,87,78,370,870.705
12426.0,2,1345.21,584,73,195,468,672.605
12427.0,3,825.8,533,26,22,349,275.26666666666665
12428.0,9,7956.46,3536,258,26,257,884.0511111111111
12429.0,8,6204.41,2890,124,9,537,775.55125
12430.0,1,256.4,117,11,43,0,256.4
12431.0,27,10432.22,4600,244,36,658,386.3785185185185
12432.0,5,5059.32,1801,107,43,129,1011.8639999999999
12433.0,10,16794.14,13534,285,1,476,1679.414
12434.0,3,1103.43,532,62,85,296,367.81
12435.0,6,13925.93,4958,88,80,657,2320.9883333333332
12436.0,1,509.01,211,16,100,0,509.01
12437.0,39,12683.4,8000,273,2,735,325.2153846153846
12438.0,2,2906.85,1180,84,14,125,1453.425
12439.0,2,1142.88,478,69,683,43,571.44
12440.0,2,859.2,331,21,462,255,429.6
12441.0,1,173.55,121,11,367,0,173.55
12442.0,1,172.06,182,12,3,0,172.06
12443.0,1,485.31,182,21,732,0,485.31
12444.0,5,5005.46,1153,138,21,149,1001.092
12445.0,2,434.98,206,24,22,398,217.49
12446.0,1,1002.3100000000001,351,57,58,0,1002.3100000000001
12447.0,1,476.49,190,26,243,0,476.49
12448.0,1,449.45,243,22,44,0,449.45
12449.0,6,4835.89,2282,125,22,416,805.9816666666667
12450.0,5,688.2,442,31,156,318,137.64000000000001
12451.0,8,12669.88,9359,352,11,518,1583.735
12452.0,2,430.57,185,21,17,0,215.285
12453.0,1,707.09,473,43,134,0,707.09
12454.0,5,16679.78,7703,24,56,364,3335.9559999999997
12455.0,10,5879.95,3302,199,73,648,587.995
12456.0,3,3181.04,1633,105,44,210,1060.3466666666666
12457.0,8,2995.91,1094,63,66,368,374.48875
12458.0,4,1777.49,986,71,71,416,444.3725
12459.0,1,454.36,258,23,605,0,454.36
