CustomerID,Number_of_Orders,Total_Spend,Days_Since_Last_Purchase,cluster,cluster_name
12346.0,12,77556.46,326,1,Revenue Drivers
12347.0,8,4921.53,2,1,Revenue Drivers
12348.0,5,2019.4,75,0,Retention Risk Customers
12349.0,4,4428.69,19,1,Revenue Drivers
12350.0,1,334.4,310,2,Inactive
12351.0,1,300.93,375,2,Inactive
12352.0,10,2849.84,36,1,Revenue Drivers
12353.0,2,406.76,204,2,Inactive
12354.0,1,1079.4,232,0,Retention Risk Customers
12355.0,2,947.61,214,0,Retention Risk Customers
12356.0,6,6371.73,23,1,Revenue Drivers
12357.0,3,18287.66,33,1,Revenue Drivers
12358.0,5,3887.07,2,1,Revenue Drivers
12359.0,10,8873.39,58,1,Revenue Drivers
12360.0,8,4252.89,52,1,Revenue Drivers
12361.0,4,511.25,287,0,Retention Risk Customers
12362.0,11,5356.2300000000005,3,1,Revenue Drivers
12363.0,2,552.0,110,3,Growth Segment
12364.0,4,1313.1,8,3,Growth Segment
12365.0,2,641.38,291,0,Retention Risk Customers
12366.0,1,500.24,634,2,Inactive
12367.0,1,168.9,4,3,Growth Segment
12368.0,1,917.7,628,0,Retention Risk Customers
12369.0,3,1791.15,413,0,Retention Risk Customers
12370.0,7,4316.56,51,1,Revenue Drivers
12371.0,5,4067.38,45,1,Revenue Drivers
12372.0,3,1298.04,72,3,Growth Segment
12373.0,3,1127.65,311,0,Retention Risk Customers
12374.0,4,2989.2200000000003,25,1,Revenue Drivers
12375.0,2,457.5,11,3,Growth Segment
12376.0,2,503.15,390,0,Retention Risk Customers
12377.0,4,3426.32,315,0,Retention Risk Customers
12378.0,2,5416.32,130,0,Retention Risk Customers
12379.0,4,1620.22,82,0,Retention Risk Customers
12380.0,11,9676.3,22,1,Revenue Drivers
12381.0,5,1845.31,5,1,Revenue Drivers
12383.0,5,1850.56,185,0,Retention Risk Customers
12384.0,2,585.27,29,3,Growth Segment
12385.0,1,1938.4,379,0,Retention Risk Customers
12386.0,2,401.9,338,2,Inactive
12387.0,1,143.94,415,2,Inactive
12388.0,8,3901.11,16,1,Revenue Drivers
12389.0,3,1433.33,403,0,Retention Risk Customers
12390.0,1,549.84,80,3,Growth Segment
12391.0,6,2724.84,22,1,Revenue Drivers
12392.0,1,234.75000000000003,591,2,Inactive
12393.0,6,2399.45,72,1,Revenue Drivers
12394.0,2,1272.48,64,3,Growth Segment
12395.0,15,4721.17,19,1,Revenue Drivers
12396.0,1,931.43,674,0,Retention Risk Customers
12397.0,2,2409.9,36,3,Growth Segment
12398.0,1,1635.66,46,3,Growth Segment
12399.0,7,1962.3,119,0,Retention Risk Customers
12400.0,1,205.25,414,2,Inactive
12401.0,1,84.3,303,2,Inactive
12402.0,6,1256.9,323,0,Retention Risk Customers
12403.0,2,1019.36,50,3,Growth Segment
12404.0,1,63.24,682,2,Inactive
12405.0,1,1710.39,149,0,Retention Risk Customers
12406.0,5,6390.36,22,1,Revenue Drivers
12407.0,5,1708.12,50,3,Growth Segment
12408.0,8,4340.77,33,1,Revenue Drivers
12409.0,7,23419.29,79,1,Revenue Drivers
12410.0,3,1013.71,309,0,Retention Risk Customers
12411.0,1,346.9,410,2,Inactive
12412.0,6,2596.93,75,1,Revenue Drivers
12413.0,4,999.45,67,3,Growth Segment
12414.0,6,952.41,217,0,Retention Risk Customers
12415.0,28,144458.37,24,1,Revenue Drivers
12416.0,1,202.56,657,2,Inactive
12417.0,20,6797.41,3,1,Revenue Drivers
12418.0,4,2021.2,113,0,Retention Risk Customers
12419.0,2,503.01,386,0,Retention Risk Customers
12420.0,1,600.39,64,3,Growth Segment
12421.0,6,1098.6,16,3,Growth Segment
12422.0,17,5231.8,96,1,Revenue Drivers
12423.0,10,2622.39,1,1,Revenue Drivers
12424.0,4,3340.0299999999997,163,0,Retention Risk Customers
12425.0,2,1741.41,78,3,Growth Segment
12426.0,2,1345.21,195,0,Retention Risk Customers
12427.0,3,825.8,22,3,Growth Segment
12428.0,9,7956.46,26,1,Revenue Drivers
12429.0,8,6204.41,9,1,Revenue Drivers
12430.0,1,256.4,43,3,Growth Segment
12431.0,27,10432.22,36,1,Revenue Drivers
12432.0,5,5059.32,43,1,Revenue Drivers
12433.0,10,16794.14,1,1,Revenue Drivers
12434.0,3,1103.43,85,3,Growth Segment
12435.0,6,13925.93,80,1,Revenue Drivers
12436.0,1,509.01,100,3,Growth Segment
12437.0,39,12683.4,2,1,Revenue Drivers
12438.0,2,2906.85,14,3,Growth Segment
12439.0,2,1142.88,683,0,Retention Risk Customers
12440.0,2,859.2,462,0,Retention Risk Customers
12441.0,1,173.55,367,2,Inactive
12442.0,1,172.06,3,3,Growth Segment
12443.0,1,485.31,732,2,Inactive
12444.0,5,5005.46,21,1,Revenue Drivers
12445.0,2,434.98,22,3,Growth Segment
12446.0,1,1002.31,58,3,Growth Segment
12447.0,1,476.49,243,2,Inactive
12448.0,1,449.45,44,3,Growth Segment
12449.0,6,4835.89,22,1,Revenue Drivers
12450.0,5,688.2,156,0,Retention Risk Customers
12451.0,8,12669.88,11,1,Revenue Drivers
12452.0,2,430.57,17,3,Growth Segment
12453.0,1,707.09,134,3,Growth Segment
12454.0,5,16679.78,56,1,Revenue Drivers
12455.0,10,5879.95,73,1,Revenue Drivers
12456.0,3,3181.04,44,1,Revenue Drivers
12457.0,8,2995.91,66,1,Revenue Drivers
12458.0,4,1777.49,71,0,Retention Risk Customers
12459.0,1,454.36,605,2,Inactive
12460.0,1,326.65,456,2,Inactive
12461.0,2,826.88,94,3,Growth Segment
12462.0,2,1189.59,19,3,Growth Segment
12463.0,4,1344.78,53,3,Growth Segment
12464.0,8,1212.05,10,3,Growth Segment
12465.0,2,742.1899999999999,17,3,Growth Segment
12466.0,1,56.73,682,2,Inactive
12467.0,1,132.8,423,2,Inactive
12468.0,5,3670.74,188,0,Retention Risk Customers
12469.0,2,3070.54,523,0,Retention Risk Customers
12470.0,1,211.95,690,2,Inactive
12471.0,79,39918.19,2,1,Revenue Drivers
12472.0,19,16249.29,32,1,Revenue Drivers
12473.0,5,3928.05,29,1,Revenue Drivers
12474.0,31,12372.75,17,1,Revenue Drivers
12475.0,2,1149.64,54,3,Growth Segment
12476.0,23,14083.91,16,1,Revenue Drivers
12477.0,9,20276.37,23,1,Revenue Drivers
12478.0,1,680.99,4,3,Growth Segment
12479.0,1,527.2,11,3,Growth Segment
12480.0,7,5464.85,28,1,Revenue Drivers
12481.0,15,12185.51,23,1,Revenue Drivers
12482.0,29,23691.4,576,1,Revenue Drivers
12483.0,19,5097.18,17,1,Revenue Drivers
12484.0,12,6354.1,33,1,Revenue Drivers
12485.0,1,708.1,529,0,Retention Risk Customers
12486.0,1,1037.28,432,0,Retention Risk Customers
12487.0,1,285.3,731,2,Inactive
12488.0,3,1298.66,10,3,Growth Segment
12489.0,1,334.93,336,2,Inactive
12490.0,21,9823.64,5,1,Revenue Drivers
12491.0,1,460.4,39,3,Growth Segment
12492.0,3,715.21,63,3,Growth Segment
12493.0,2,433.74,166,0,Retention Risk Customers
12494.0,9,1815.27,16,1,Revenue Drivers
12495.0,1,357.4,641,2,Inactive
12496.0,2,45.34,620,2,Inactive
12497.0,3,6248.5,82,1,Revenue Drivers
12498.0,3,403.7000000000001,21,3,Growth Segment
12499.0,1,393.72,560,2,Inactive
12500.0,19,5955.21,23,1,Revenue Drivers
12501.0,1,2169.39,337,0,Retention Risk Customers
12502.0,5,3723.87,96,1,Revenue Drivers
12503.0,1,1126.0,584,0,Retention Risk Customers
12504.0,4,779.05,18,3,Growth Segment
