CustomerID,Number_of_Orders,Total_Spend,Total_Items_Purchased,Product_Diversity,Days_Since_Last_Purchase,Customer_Lifetime_Days,Average_Order_Value
12346.0,1,77183.6,74215,1,230,0,77183.6
12347.0,5,2790.86,1590,82,34,237,558.172
12348.0,3,1487.24,2124,22,153,109,495.74666666666667
12350.0,1,334.4,197,17,214,0,334.4
12352.0,5,1561.81,254,26,166,34,312.36199999999997
12353.0,1,89.0,20,4,108,0,89.0
12354.0,1,1079.4,530,58,137,0,1079.4
12355.0,1,459.4,240,13,119,0,459.4
12356.0,2,2753.08,1586,53,150,80,1376.54
12358.0,1,484.86,100,12,55,0,484.86
12359.0,3,3495.73,965,135,94,141,1165.2433333333333
12360.0,2,1618.28,674,63,17,88,809.14
12361.0,1,189.9,91,10,192,0,189.9
12362.0,4,1747.35,988,89,24,175,436.8375
12363.0,2,552.0,408,23,14,132,276.0
12364.0,1,623.92,555,34,16,0,623.92
12365.0,2,641.38,174,22,196,0,320.69
12370.0,3,2802.66,1972,125,179,85,934.2199999999999
12372.0,2,914.92,592,32,117,83,457.46000000000004
12373.0,1,364.6,197,14,216,0,364.6
12375.0,1,230.3,87,11,3,0,230.3
12377.0,2,1628.12,944,72,219,39,814.06
12378.0,1,4008.62,2529,219,34,0,4008.62
12379.0,1,459.84,211,20,74,0,459.84
12380.0,1,607.55,293,36,90,0,607.5500000000001
12381.0,1,1268.74,568,62,24,0,1268.74
12383.0,5,1850.56,1532,84,89,167,370.11199999999997
12384.0,1,292.69,62,14,26,0,292.69
12386.0,2,401.9,354,10,242,29,200.95
12388.0,4,1668.34,760,50,53,178,417.08500000000004
12393.0,3,1061.1,522,33,150,86,353.70000000000005
12394.0,1,381.08,182,21,122,0,381.08
12395.0,8,1899.57,1629,65,16,258,237.44625
12397.0,1,1214.81,704,70,40,0,1214.81
12399.0,4,1108.65,1178,47,24,142,277.1625
12401.0,1,84.3,11,5,208,0,84.3
12402.0,1,225.6,94,11,228,0,225.6
12405.0,1,1710.39,857,54,53,0,1710.39
12406.0,1,1621.25,793,48,88,0,1621.25
12407.0,4,1407.36,1237,50,38,130,351.84000000000003
12408.0,4,2134.05,1044,67,3,161,533.5124999999999
12409.0,1,6207.08,3142,64,87,0,6207.08
12410.0,2,693.33,211,26,213,0,346.66499999999996
12412.0,2,890.74,599,34,42,31,445.37
12413.0,2,563.9,205,25,140,100,281.95
12414.0,3,562.41,300,16,121,93,187.47
