CustomerID,Number_of_Orders,Total_Spend,Days_Since_Last_Purchase,group,group_name
12346.0,1,77183.6,326,1,VIP
12347.0,7,4310.0,2,1,VIP
12348.0,4,1797.24,75,2,Mid_Value
12349.0,1,1757.55,19,2,Mid_Value
12350.0,1,334.4,310,0,Low_Value & Inactive
12352.0,8,2506.04,36,1,VIP
12353.0,1,89.0,204,0,Low_Value & Inactive
12354.0,1,1079.4,232,0,Low_Value & Inactive
12355.0,1,459.4,214,0,Low_Value & Inactive
12356.0,3,2811.43,23,1,VIP
12357.0,1,6207.67,33,1,VIP
12358.0,2,1168.06,2,1,VIP
12359.0,4,6310.03,58,1,VIP
12360.0,3,2662.06,52,2,Mid_Value
12361.0,1,189.9,287,0,Low_Value & Inactive
12362.0,10,5226.23,3,1,VIP
12363.0,2,552.0,110,2,Mid_Value
12364.0,4,1313.1,8,1,VIP
12365.0,2,641.38,291,0,Low_Value & Inactive
12367.0,1,168.9,4,2,Mid_Value
12370.0,4,3541.94,51,1,VIP
12371.0,2,1887.96,45,2,Mid_Value
12372.0,3,1298.04,72,2,Mid_Value
12373.0,1,364.6,311,0,Low_Value & Inactive
12374.0,1,742.93,25,2,Mid_Value
12375.0,2,457.5,11,2,Mid_Value
12377.0,2,1628.12,315,2,Mid_Value
12378.0,1,4008.62,130,2,Mid_Value
12379.0,2,852.24,82,2,Mid_Value
12380.0,4,2724.81,22,1,VIP
12381.0,5,1845.31,5,1,VIP
12383.0,5,1850.56,185,2,Mid_Value
12384.0,2,585.27,29,2,Mid_Value
12386.0,2,401.9,338,0,Low_Value & Inactive
12388.0,6,2780.66,16,1,VIP
12390.0,1,549.84,80,2,Mid_Value
12391.0,1,439.66,22,2,Mid_Value
12393.0,4,1582.6,72,2,Mid_Value
12394.0,2,1272.48,64,2,Mid_Value
12395.0,12,3018.63,19,1,VIP
12397.0,2,2409.9,36,2,Mid_Value
12398.0,1,1635.66,46,2,Mid_Value
12399.0,4,1108.65,119,2,Mid_Value
12401.0,1,84.3,303,0,Low_Value & Inactive
12402.0,1,225.6,323,0,Low_Value & Inactive
12403.0,1,427.7,50,2,Mid_Value
12405.0,1,1710.39,149,2,Mid_Value
12406.0,2,3415.3,22,1,VIP
12407.0,5,1708.12,50,2,Mid_Value
12408.0,5,2888.55,33,1,VIP
12409.0,3,11072.67,79,1,VIP
12410.0,2,693.33,309,0,Low_Value & Inactive
12412.0,3,1226.88,75,2,Mid_Value
12413.0,3,758.1,67,2,Mid_Value
12414.0,3,562.41,217,2,Mid_Value
12415.0,21,124914.53,24,1,VIP
12417.0,9,3649.1,3,1,VIP
12418.0,1,668.58,113,0,Low_Value & Inactive
12420.0,1,600.39,64,2,Mid_Value
12421.0,4,807.04,16,2,Mid_Value
12422.0,3,803.56,96,2,Mid_Value
12423.0,8,1859.31,1,1,VIP
12424.0,2,1760.96,163,2,Mid_Value
12425.0,1,777.2,78,2,Mid_Value
12426.0,1,582.73,195,0,Low_Value & Inactive
12427.0,3,825.8,22,2,Mid_Value
12428.0,9,7956.46,26,1,VIP
12429.0,4,3750.4,9,1,VIP
12430.0,1,256.4,43,0,Low_Value & Inactive
12431.0,15,6419.95,36,1,VIP
12432.0,5,5059.32,43,1,VIP
12433.0,7,13375.87,1,1,VIP
12434.0,2,806.14,85,2,Mid_Value
12435.0,2,7829.89,80,1,VIP
12436.0,1,509.01,100,0,Low_Value & Inactive
12437.0,18,4951.41,2,1,VIP
12438.0,2,2906.85,14,1,VIP
12441.0,1,173.55,367,0,Low_Value & Inactive
12442.0,1,172.06,3,2,Mid_Value
12444.0,5,5005.46,21,1,VIP
12445.0,1,133.4,22,0,Low_Value & Inactive
12446.0,1,1002.31,58,2,Mid_Value
12447.0,1,476.49,243,0,Low_Value & Inactive
12448.0,1,449.45,44,2,Mid_Value
12449.0,4,4067.29,22,1,VIP
12450.0,2,197.88,156,0,Low_Value & Inactive
12451.0,5,9035.52,11,1,VIP
12452.0,2,430.57,17,2,Mid_Value
12453.0,1,707.09,134,0,Low_Value & Inactive
12454.0,1,3528.34,56,2,Mid_Value
12455.0,6,2466.86,73,1,VIP
12456.0,3,3181.04,44,1,VIP
12457.0,7,2363.23,66,1,VIP
12458.0,2,947.4,71,2,Mid_Value
12461.0,2,826.88,94,2,Mid_Value
12462.0,2,1189.59,19,2,Mid_Value
12463.0,4,1344.78,53,2,Mid_Value
12464.0,8,1212.05,10,1,VIP
12465.0,2,742.19,17,2,Mid_Value
12468.0,2,729.54,188,2,Mid_Value
12471.0,30,19788.65,2,1,VIP
12472.0,7,6572.11,32,1,VIP
12473.0,5,3928.05,29,1,VIP
12474.0,18,7324.09,17,1,VIP
12475.0,1,723.38,54,2,Mid_Value
12476.0,11,6816.42,16,1,VIP
12477.0,6,13219.74,23,1,VIP
12478.0,1,680.99,4,2,Mid_Value
12479.0,1,527.2,11,2,Mid_Value
12480.0,4,3281.63,28,1,VIP
12481.0,10,5579.82,23,1,VIP
12483.0,8,2484.98,17,1,VIP
12484.0,6,4527.32,33,1,VIP
12488.0,3,1298.66,10,1,VIP
12489.0,1,334.93,336,0,Low_Value & Inactive
12490.0,10,5417.93,5,1,VIP
12491.0,1,460.4,39,2,Mid_Value
12492.0,2,263.21,63,0,Low_Value & Inactive
12493.0,2,433.74,166,0,Low_Value & Inactive
12494.0,7,1246.1,16,1,VIP
12497.0,1,1043.1,82,2,Mid_Value
12498.0,3,403.7,21,2,Mid_Value
12500.0,11,4257.82,23,1,VIP
12501.0,1,2169.39,337,2,Mid_Value
12502.0,5,3723.87,96,1,VIP
12504.0,2,482.05,18,2,Mid_Value
12506.0,1,73.5,233,0,Low_Value & Inactive
12507.0,3,1304.81,134,2,Mid_Value
12508.0,2,397.88,26,2,Mid_Value
12509.0,1,176.5,284,0,Low_Value & Inactive
12510.0,2,982.57,143,2,Mid_Value
12512.0,2,132.18,66,0,Low_Value & Inactive
12513.0,1,612.29,113,0,Low_Value & Inactive
12514.0,1,1017.68,267,0,Low_Value & Inactive
12515.0,1,383.7,353,0,Low_Value & Inactive
12516.0,2,1312.06,78,2,Mid_Value
12517.0,5,2481.6,28,1,VIP
12518.0,5,2056.89,1,1,VIP
12519.0,1,330.84,64,0,Low_Value & Inactive
12520.0,5,2634.26,79,1,VIP
12521.0,1,599.68,143,0,Low_Value & Inactive
12522.0,2,192.72,39,0,Low_Value & Inactive
12523.0,11,1789.77,19,1,VIP
12524.0,8,4485.72,9,1,VIP
12526.0,3,1316.66,1,1,VIP
12527.0,3,348.71,82,2,Mid_Value
12528.0,6,1933.48,9,1,VIP
12530.0,4,1662.28,60,2,Mid_Value
12531.0,1,125.22,15,0,Low_Value & Inactive
12532.0,1,349.83,30,2,Mid_Value
12534.0,1,1089.18,131,2,Mid_Value
12535.0,2,716.35,92,2,Mid_Value
12536.0,3,12601.83,43,1,VIP
12538.0,1,363.95,29,2,Mid_Value
12539.0,4,5568.35,22,1,VIP
12540.0,17,13400.24,20,1,VIP
12541.0,3,981.18,30,2,Mid_Value
12544.0,1,372.7,36,2,Mid_Value
12545.0,2,1000.39,75,2,Mid_Value
12546.0,2,1161.5,47,2,Mid_Value
12547.0,2,207.8,198,0,Low_Value & Inactive
12548.0,1,95.2,166,0,Low_Value & Inactive
12550.0,1,964.83,79,2,Mid_Value
12551.0,1,168.0,358,0,Low_Value & Inactive
12552.0,2,437.82,39,2,Mid_Value
12553.0,10,3692.28,8,1,VIP
12556.0,2,599.56,50,2,Mid_Value
12557.0,5,11990.96,16,1,VIP
12558.0,1,269.96,8,2,Mid_Value
12559.0,2,561.71,311,0,Low_Value & Inactive
12560.0,3,2134.01,5,1,VIP
12561.0,1,238.85,303,0,Low_Value & Inactive
12562.0,7,3781.74,8,1,VIP
12564.0,1,456.9,261,0,Low_Value & Inactive
12565.0,1,145.92,289,0,Low_Value & Inactive
12566.0,1,351.65,86,0,Low_Value & Inactive
12567.0,10,9401.28,23,1,VIP
12569.0,32,4124.69,2,1,VIP
12571.0,2,519.61,40,2,Mid_Value
12572.0,2,1020.42,9,2,Mid_Value
12573.0,1,160.54,227,0,Low_Value & Inactive
12574.0,1,218.45,316,0,Low_Value & Inactive
12576.0,5,1315.83,36,2,Mid_Value
12577.0,3,626.6,35,2,Mid_Value
12578.0,2,2794.51,21,1,VIP
12579.0,1,440.42,78,0,Low_Value & Inactive
